Column1;Column2;Column3;Column4;Column5;Column6
# Red box data ;;;;;
# slow cooling cycle (mol con 0.50);;;;;
# t0: 2022              3              8             16             16         32.004;;;;;
# T [K] ; dTdt [K/s] ; V [Volt] ; dV/dt [Volt/s] ; IntdTdt [V] ; etime [s] 
2.73955e+02 ; -5.30086e-01 ; -6.81160e-05 ; -2.67402e-05 ; 4.08232e-05 ; 8.99910e+01 
2.73528e+02 ; -5.31878e-01 ; -9.35434e-05 ; -2.68169e-05 ; 1.91866e-05 ; 9.09950e+01 
2.73031e+02 ; -5.31248e-01 ; -1.14685e-04 ; -2.67692e-05 ; -5.97220e-06 ; 9.19970e+01 
2.72597e+02 ; -5.31285e-01 ; -1.39844e-04 ; -2.67573e-05 ; -2.77042e-05 ; 9.29810e+01 
2.72098e+02 ; -5.30844e-01 ; -1.64992e-04 ; -2.67194e-05 ; -5.27262e-05 ; 9.39970e+01 
2.71600e+02 ; -5.29392e-01 ; -1.85847e-04 ; -2.66306e-05 ; -7.76588e-05 ; 9.50120e+01 
2.71169e+02 ; -5.27858e-01 ; -2.11155e-04 ; -2.65400e-05 ; -9.92476e-05 ; 9.60120e+01 
2.70679e+02 ; -5.27418e-01 ; -2.35903e-04 ; -2.65025e-05 ; -1.23775e-04 ; 9.70280e+01 
2.70184e+02 ; -5.26841e-01 ; -2.56991e-04 ; -2.64580e-05 ; -1.48594e-04 ; 9.80260e+01 
2.69758e+02 ; -5.26399e-01 ; -2.81674e-04 ; -2.64226e-05 ; -1.69957e-04 ; 9.90430e+01 
2.69266e+02 ; -5.26089e-01 ; -3.06678e-04 ; -2.63917e-05 ; -1.94579e-04 ; 1.00058e+02 
2.68775e+02 ; -5.25114e-01 ; -3.27456e-04 ; -2.63275e-05 ; -2.19202e-04 ; 1.01057e+02 
2.68349e+02 ; -5.25441e-01 ; -3.51733e-04 ; -2.63307e-05 ; -2.40511e-04 ; 1.02071e+02 
2.67855e+02 ; -5.25068e-01 ; -3.76826e-04 ; -2.62949e-05 ; -2.65258e-04 ; 1.03086e+02 
2.67358e+02 ; -5.24459e-01 ; -3.97485e-04 ; -2.62457e-05 ; -2.90203e-04 ; 1.04086e+02 
2.66943e+02 ; -5.23158e-01 ; -4.21959e-04 ; -2.61652e-05 ; -3.10969e-04 ; 1.05099e+02 
2.66454e+02 ; -5.22450e-01 ; -4.46761e-04 ; -2.61116e-05 ; -3.35473e-04 ; 1.06113e+02 
2.65957e+02 ; -5.21883e-01 ; -4.67187e-04 ; -2.60648e-05 ; -3.60358e-04 ; 1.07114e+02 
2.65543e+02 ; -5.22739e-01 ; -4.91589e-04 ; -2.60922e-05 ; -3.81094e-04 ; 1.08099e+02 
2.65063e+02 ; -5.21642e-01 ; -5.12999e-04 ; -2.60197e-05 ; -4.05139e-04 ; 1.09114e+02 
2.64576e+02 ; -5.23512e-01 ; -5.37306e-04 ; -2.60949e-05 ; -4.29553e-04 ; 1.10129e+02 
2.64149e+02 ; -5.22766e-01 ; -5.61845e-04 ; -2.60419e-05 ; -4.50945e-04 ; 1.11130e+02 
2.63666e+02 ; -5.23348e-01 ; -5.82379e-04 ; -2.60531e-05 ; -4.75126e-04 ; 1.12133e+02 
2.63255e+02 ; -5.22280e-01 ; -6.06501e-04 ; -2.59847e-05 ; -4.95720e-04 ; 1.13146e+02 
2.62759e+02 ; -5.22391e-01 ; -6.30623e-04 ; -2.59722e-05 ; -5.20337e-04 ; 1.14148e+02 
