T[K] ; dTdt [K/s] ; V [Volt] ; dV/dt [Volt/s] ; IntdTdt [V] ; etime [s] 
7.55805e+01 ; 1.17332e-01 ; -7.91627e-03 ; 2.61990e-06 ; -7.83386e-03 ; 1.21389e+02 
7.57126e+01 ; 9.26738e-02 ; -7.91321e-03 ; 2.07286e-06 ; -7.83080e-03 ; 1.22388e+02 
7.58444e+01 ; 5.97487e-02 ; -7.91321e-03 ; 1.33871e-06 ; -7.82776e-03 ; 1.23403e+02 
7.58447e+01 ; 4.49717e-02 ; -7.91016e-03 ; 1.00763e-06 ; -7.82775e-03 ; 1.24404e+02 
7.59765e+01 ; 5.19494e-02 ; -7.90710e-03 ; 1.16597e-06 ; -7.82471e-03 ; 1.25404e+02 
7.61086e+01 ; 1.05643e-01 ; -7.90406e-03 ; 2.37519e-06 ; -7.82166e-03 ; 1.26421e+02 
7.62410e+01 ; 1.66818e-01 ; -7.90101e-03 ; 3.75712e-06 ; -7.81860e-03 ; 1.27420e+02 
7.63731e+01 ; 2.18210e-01 ; -7.89795e-03 ; 4.92309e-06 ; -7.81555e-03 ; 1.28434e+02 
7.67692e+01 ; 2.91975e-01 ; -7.89185e-03 ; 6.62174e-06 ; -7.80640e-03 ; 1.29450e+02 
7.70334e+01 ; 3.64961e-01 ; -7.88574e-03 ; 8.30596e-06 ; -7.80029e-03 ; 1.30449e+02 
7.74298e+01 ; 4.42953e-01 ; -7.87659e-03 ; 1.01341e-05 ; -7.79114e-03 ; 1.31449e+02 
7.79585e+01 ; 4.87319e-01 ; -7.86439e-03 ; 1.12282e-05 ; -7.77892e-03 ; 1.32477e+02 
7.84866e+01 ; 5.14370e-01 ; -7.85217e-03 ; 1.19191e-05 ; -7.76672e-03 ; 1.33460e+02 
7.90151e+01 ; 5.31625e-01 ; -7.83997e-03 ; 1.23797e-05 ; -7.75452e-03 ; 1.34490e+02 
7.95438e+01 ; 5.45608e-01 ; -7.82776e-03 ; 1.27684e-05 ; -7.74230e-03 ; 1.35490e+02 
8.00720e+01 ; 5.50861e-01 ; -7.81556e-03 ; 1.29556e-05 ; -7.73010e-03 ; 1.36503e+02 
8.06007e+01 ; 5.49940e-01 ; -7.80334e-03 ; 1.29987e-05 ; -7.71789e-03 ; 1.37518e+02 
8.11291e+01 ; 5.48397e-01 ; -7.79114e-03 ; 1.30275e-05 ; -7.70568e-03 ; 1.38532e+02 
8.16575e+01 ; 5.50459e-01 ; -7.77893e-03 ; 1.31427e-05 ; -7.69348e-03 ; 1.39532e+02 
8.24500e+01 ; 5.52864e-01 ; -7.76367e-03 ; 1.33010e-05 ; -7.67517e-03 ; 1.40547e+02 
8.28463e+01 ; 5.51347e-01 ; -7.75147e-03 ; 1.33155e-05 ; -7.66602e-03 ; 1.41546e+02 
8.33528e+01 ; 5.50304e-01 ; -7.73926e-03 ; 1.33586e-05 ; -7.65381e-03 ; 1.42562e+02 
8.38296e+01 ; 5.52193e-01 ; -7.72705e-03 ; 1.34738e-05 ; -7.64160e-03 ; 1.43579e+02 
8.45449e+01 ; 5.53762e-01 ; -7.71484e-03 ; 1.36177e-05 ; -7.62329e-03 ; 1.44577e+02 
8.49027e+01 ; 5.59176e-01 ; -7.69958e-03 ; 1.38049e-05 ; -7.61413e-03 ; 1.45580e+02 
8.53796e+01 ; 5.62051e-01 ; -7.68433e-03 ; 1.39488e-05 ; -7.60192e-03 ; 1.46595e+02 
8.59754e+01 ; 5.63543e-01 ; -7.67212e-03 ; 1.40784e-05 ; -7.58667e-03 ; 1.47608e+02 
8.65714e+01 ; 5.62104e-01 ; -7.65991e-03 ; 1.41360e-05 ; -7.57141e-03 ; 1.48613e+02 
8.70485e+01 ; 5.64231e-01 ; -7.64465e-03 ; 1.42655e-05 ; -7.55920e-03 ; 1.49628e+02 
8.75253e+01 ; 5.65172e-01 ; -7.63245e-03 ; 1.43663e-05 ; -7.54699e-03 ; 1.50640e+02 
8.80020e+01 ; 5.64944e-01 ; -7.62024e-03 ; 1.44382e-05 ; -7.53479e-03 ; 1.51639e+02 
8.87174e+01 ; 5.63053e-01 ; -7.60498e-03 ; 1.44814e-05 ; -7.51647e-03 ; 1.52671e+02 
8.91943e+01 ; 5.60844e-01 ; -7.59277e-03 ; 1.44814e-05 ; -7.50427e-03 ; 1.53686e+02 
8.97901e+01 ; 5.56421e-01 ; -7.57142e-03 ; 1.44383e-05 ; -7.48901e-03 ; 1.54686e+02 
9.03864e+01 ; 5.57531e-01 ; -7.56226e-03 ; 1.45390e-05 ; -7.47375e-03 ; 1.55702e+02 
