T;dTdt [K/s];V [Volt];dV/dt [Volt/s];IntdTdt [V];etime [s]
1.13365e+02 ; 4.49420e-01 ; -6.90883e-03 ; 1.39923e-05 ; -6.81409e-03 ; 1.60520e+02 
1.13802e+02 ; 4.49203e-01 ; -6.89461e-03 ; 1.40241e-05 ; -6.80007e-03 ; 1.61506e+02 
1.14255e+02 ; 4.46752e-01 ; -6.88229e-03 ; 1.39875e-05 ; -6.78552e-03 ; 1.62522e+02 
1.14622e+02 ; 4.42591e-01 ; -6.86833e-03 ; 1.38895e-05 ; -6.77376e-03 ; 1.63524e+02 
1.15066e+02 ; 4.40923e-01 ; -6.85424e-03 ; 1.38762e-05 ; -6.75949e-03 ; 1.64525e+02 
1.15509e+02 ; 4.38478e-01 ; -6.84240e-03 ; 1.38382e-05 ; -6.74527e-03 ; 1.65527e+02 
1.15875e+02 ; 4.38225e-01 ; -6.82846e-03 ; 1.38626e-05 ; -6.73352e-03 ; 1.66527e+02 
1.16305e+02 ; 4.29199e-01 ; -6.81627e-03 ; 1.36144e-05 ; -6.71973e-03 ; 1.67526e+02 
1.16680e+02 ; 4.28740e-01 ; -6.80255e-03 ; 1.36326e-05 ; -6.70769e-03 ; 1.68527e+02 
1.17108e+02 ; 4.28331e-01 ; -6.78883e-03 ; 1.36571e-05 ; -6.69395e-03 ; 1.69528e+02 
1.17543e+02 ; 4.28226e-01 ; -6.77712e-03 ; 1.36922e-05 ; -6.67998e-03 ; 1.70529e+02 
1.17914e+02 ; 4.26882e-01 ; -6.76322e-03 ; 1.36820e-05 ; -6.66808e-03 ; 1.71530e+02 
1.18350e+02 ; 4.24038e-01 ; -6.75140e-03 ; 1.36271e-05 ; -6.65409e-03 ; 1.72531e+02 
1.18707e+02 ; 4.22038e-01 ; -6.73751e-03 ; 1.35905e-05 ; -6.64262e-03 ; 1.73545e+02 
1.19140e+02 ; 4.19296e-01 ; -6.72389e-03 ; 1.35356e-05 ; -6.62872e-03 ; 1.74561e+02 
1.19571e+02 ; 4.16583e-01 ; -6.71035e-03 ; 1.34813e-05 ; -6.61487e-03 ; 1.75575e+02 
1.19995e+02 ; 4.14526e-01 ; -6.69848e-03 ; 1.34474e-05 ; -6.60127e-03 ; 1.76592e+02 
1.20361e+02 ; 4.11664e-01 ; -6.68468e-03 ; 1.33827e-05 ; -6.58954e-03 ; 1.77595e+02 
1.20781e+02 ; 4.08505e-01 ; -6.67328e-03 ; 1.33122e-05 ; -6.57604e-03 ; 1.78577e+02 
1.21213e+02 ; 4.06794e-01 ; -6.65995e-03 ; 1.32896e-05 ; -6.56219e-03 ; 1.79608e+02 
1.21558e+02 ; 4.05138e-01 ; -6.64639e-03 ; 1.32620e-05 ; -6.55111e-03 ; 1.80625e+02 
1.21979e+02 ; 4.02809e-01 ; -6.63284e-03 ; 1.32181e-05 ; -6.53758e-03 ; 1.81623e+02 
1.22399e+02 ; 4.01324e-01 ; -6.62180e-03 ; 1.32016e-05 ; -6.52410e-03 ; 1.82639e+02 
1.22751e+02 ; 4.00140e-01 ; -6.60862e-03 ; 1.31897e-05 ; -6.51280e-03 ; 1.83652e+02 
1.23167e+02 ; 3.98310e-01 ; -6.59509e-03 ; 1.31614e-05 ; -6.49941e-03 ; 1.84652e+02 
1.23558e+02 ; 3.95477e-01 ; -6.58380e-03 ; 1.30996e-05 ; -6.48609e-03 ; 1.85664e+02 
1.23898e+02 ; 3.91657e-01 ; -6.57043e-03 ; 1.30007e-05 ; -6.47449e-03 ; 1.86666e+02 
1.24276e+02 ; 3.92711e-01 ; -6.55894e-03 ; 1.30665e-05 ; -6.46161e-03 ; 1.87666e+02 
1.24614e+02 ; 3.92021e-01 ; -6.54581e-03 ; 1.30713e-05 ; -6.45006e-03 ; 1.88666e+02 
1.25005e+02 ; 3.90192e-01 ; -6.53251e-03 ; 1.30423e-05 ; -6.43675e-03 ; 1.89668e+02 
1.25386e+02 ; 3.86032e-01 ; -6.52112e-03 ; 1.29342e-05 ; -6.42376e-03 ; 1.90668e+02 
1.25716e+02 ; 3.86899e-01 ; -6.50823e-03 ; 1.29903e-05 ; -6.41250e-03 ; 1.91685e+02 
1.26105e+02 ; 3.85531e-01 ; -6.49487e-03 ; 1.29762e-05 ; -6.39924e-03 ; 1.92685e+02 
