T;dTdt [K/s];V [Volt];dV/dt [Volt/s];IntdTdt [V];etime [s]
2.71481e+02 ; 1.57597e+00 ; -2.13313e-04 ; 7.92668e-05 ; -8.36372e-05 ; 8.70270e+01 
2.72499e+02 ; 8.87355e-01 ; -1.63770e-04 ; 4.46851e-05 ; -3.26036e-05 ; 8.80420e+01 
2.73015e+02 ; 4.98015e-01 ; -1.29861e-04 ; 2.50942e-05 ; -6.77100e-06 ; 8.90560e+01 
2.73368e+02 ; 2.77046e-01 ; -1.10060e-04 ; 1.39658e-05 ; 1.10506e-05 ; 9.00700e+01 
2.73565e+02 ; 1.65313e-01 ; -9.89854e-05 ; 8.33532e-06 ; 2.10284e-05 ; 9.10840e+01 
2.73673e+02 ; 8.70647e-02 ; -9.33408e-05 ; 4.39050e-06 ; 2.65358e-05 ; 9.21000e+01 
2.73728e+02 ; 4.40569e-02 ; -8.96274e-05 ; 2.22185e-06 ; 2.93254e-05 ; 9.31140e+01 
2.73765e+02 ; 2.11271e-02 ; -8.74042e-05 ; 1.06552e-06 ; 3.11552e-05 ; 9.41310e+01 
2.73792e+02 ; 5.28300e-03 ; -8.59140e-05 ; 2.66449e-07 ; 3.25678e-05 ; 9.51320e+01 
2.73801e+02 ; -4.54711e-03 ; -8.56220e-05 ; -2.29337e-07 ; 3.30150e-05 ; 9.61310e+01 
2.73804e+02 ; -8.43194e-03 ; -8.49068e-05 ; -4.25273e-07 ; 3.31460e-05 ; 9.71480e+01 
2.73815e+02 ; -1.20953e-02 ; -8.48650e-05 ; -6.10047e-07 ; 3.37182e-05 ; 9.81470e+01 
2.73816e+02 ; -1.25312e-02 ; -8.47398e-05 ; -6.32034e-07 ; 3.37420e-05 ; 9.91610e+01 
2.73811e+02 ; -1.37003e-02 ; -8.48650e-05 ; -6.90992e-07 ; 3.35096e-05 ; 1.00175e+02 
2.73817e+02 ; -1.41712e-02 ; -8.47338e-05 ; -7.14749e-07 ; 3.38016e-05 ; 1.01176e+02 
2.73816e+02 ; -1.50815e-02 ; -8.49962e-05 ; -7.60661e-07 ; 3.37660e-05 ; 1.02188e+02 
2.73813e+02 ; -1.48670e-02 ; -8.47040e-05 ; -7.49837e-07 ; 3.35930e-05 ; 1.03199e+02 
2.73816e+02 ; -1.54606e-02 ; -8.49246e-05 ; -7.79780e-07 ; 3.37420e-05 ; 1.04198e+02 
2.73808e+02 ; -1.51564e-02 ; -8.49424e-05 ; -7.64429e-07 ; 3.33666e-05 ; 1.05214e+02 
2.73813e+02 ; -1.53213e-02 ; -8.49424e-05 ; -7.72751e-07 ; 3.36050e-05 ; 1.06215e+02 
2.73811e+02 ; -1.49044e-02 ; -8.51928e-05 ; -7.51721e-07 ; 3.34918e-05 ; 1.07215e+02 
2.73812e+02 ; -1.53280e-02 ; -8.47876e-05 ; -7.73089e-07 ; 3.35632e-05 ; 1.08208e+02 
2.73810e+02 ; -1.58921e-02 ; -8.50736e-05 ; -8.01542e-07 ; 3.34858e-05 ; 1.09223e+02 
2.73809e+02 ; -1.60706e-02 ; -8.51094e-05 ; -8.10539e-07 ; 3.33964e-05 ; 1.10239e+02 
2.73810e+02 ; -1.53849e-02 ; -8.48174e-05 ; -7.75957e-07 ; 3.34680e-05 ; 1.11240e+02 
2.73812e+02 ; -1.57684e-02 ; -8.49722e-05 ; -7.95300e-07 ; 3.35692e-05 ; 1.12238e+02 
2.73801e+02 ; -1.70345e-02 ; -8.51212e-05 ; -8.59150e-07 ; 3.30090e-05 ; 1.13253e+02 
2.73806e+02 ; -1.63627e-02 ; -8.52166e-05 ; -8.25271e-07 ; 3.32414e-05 ; 1.14255e+02 
2.73802e+02 ; -1.75507e-02 ; -8.54074e-05 ; -8.85185e-07 ; 3.30686e-05 ; 1.15256e+02 
2.73794e+02 ; -1.85894e-02 ; -8.55088e-05 ; -9.37564e-07 ; 3.26274e-05 ; 1.16256e+02 
2.73791e+02 ; -1.93694e-02 ; -8.55088e-05 ; -9.76897e-07 ; 3.25202e-05 ; 1.17257e+02 
2.73781e+02 ; -2.12862e-02 ; -8.59378e-05 ; -1.07356e-06 ; 3.19898e-05 ; 1.18256e+02 
2.73774e+02 ; -2.24854e-02 ; -8.64922e-05 ; -1.13403e-06 ; 3.16618e-05 ; 1.19287e+02 
2.73765e+02 ; -2.34429e-02 ; -8.70346e-05 ; -1.18231e-06 ; 3.11672e-05 ; 1.20303e+02 
2.73758e+02 ; -2.63264e-02 ; -8.72670e-05 ; -1.32772e-06 ; 3.08156e-05 ; 1.21302e+02 
2.73745e+02 ; -2.83365e-02 ; -8.82148e-05 ; -1.42908e-06 ; 3.01718e-05 ; 1.22315e+02 
2.73728e+02 ; -3.36389e-02 ; -8.85486e-05 ; -1.69645e-06 ; 2.92836e-05 ; 1.23331e+02 
2.73707e+02 ; -4.16055e-02 ; -8.96990e-05 ; -2.09817e-06 ; 2.82466e-05 ; 1.24330e+02 
